"","x"
"1","https://el.soccerway.com/matches/2023/01/24/south-america/sudamericano-u20/argentina-youth/brazil-youth/4007290/"
"2","https://el.soccerway.com/matches/2023/01/21/south-america/sudamericano-u20/paraguay-under-20/argentina-youth/4007289/"
"3","https://el.soccerway.com/matches/2023/01/25/south-america/sudamericano-u20/argentina-youth/peru-under-20/4007293"
"4","https://el.soccerway.com/matches/2022/04/23/argentina/primera-division/colon-de-santa-fe/estudiantes-de-la-plata/3727234/"
